Credit_ID,Card_Type,Credit_Name,Credit_Score,myfilename,Load_date
"1","Master","cloudpandith","978","results.csv","01/30/2021 08:36:05"
"1","visa","cloudpandith","978","results.csv","01/30/2021 08:36:05"
"2","Master","rama","770","results.csv","01/30/2021 08:36:05"
"2","visa","rama","1240","results.csv","01/30/2021 08:36:05"
"3","Master","krishna","1140","results.csv","01/30/2021 08:36:05"
"3","visa","krishna","1140","results.csv","01/30/2021 08:36:05"
"4","Master","sai","1240","results.csv","01/30/2021 08:36:05"
"4","visa","sai","770","results.csv","01/30/2021 08:36:05"
"6","Master","srinu","1240","results.csv","01/30/2021 08:36:05"
"6","visa","srinu","1240","results.csv","01/30/2021 08:36:05"
"8","visa","siva","1140","results.csv","01/30/2021 08:36:05"
"8","Master","siva","1140","results.csv","01/30/2021 08:36:05"
